,Corr,Mean Corr,Std Corr,Runtime
0.4,-0.0917,-0.15669999999999998,0.036640869713113165,65.70508599281311
0.45,0.1627,-0.07368333333333332,0.18682828494517514,17.257619380950928
0.5,0.1738,-0.02264999999999999,0.19601710597122216,17.1611590385437
0.55,0.3782,0.24926666666666666,0.3070716347839521,17.221884965896606
0.6,0.4692,0.3383333333333333,0.3711223502955446,16.33648419380188
0.6499999999999999,0.4646,0.41051666666666664,0.2564771361912966,15.691238641738892
0.7,0.4573,0.4041333333333334,0.21162435797631823,16.121312618255615
0.75,0.5406,0.5496166666666666,0.18218640103537426,17.348068952560425
0.7999999999999999,0.5107,0.6004,0.19621683583899382,15.959262132644653
0.8499999999999999,0.4677,0.5578833333333333,0.08541497559301622,16.1236515045166
0.8999999999999999,0.2377,0.26108333333333333,0.0696748739184762,15.647425889968872
