,Corr,Mean Corr,Std Corr,Runtime
0.2,0.7362,0.7564333333333333,0.09972708870824529,495.1000134944916
0.25,0.7317,0.7523,0.09708032756434232,464.872545003891
0.3,0.7251,0.7473333333333333,0.1331064945406079,467.6987121105194
0.35,0.7135,0.7343333333333333,0.11873767538382902,428.2158787250519
0.39999999999999997,0.7457,0.7705333333333333,0.11219216649223876,529.3277795314789
0.44999999999999996,0.7426,0.7651500000000001,0.11375947945849024,529.5261404514313
0.49999999999999994,0.7416,0.7568166666666668,0.12743831732341035,512.0204737186432
0.5499999999999999,0.7276,0.7566499999999999,0.11364153803370783,560.8097891807556
0.5999999999999999,0.7412,0.7622333333333334,0.1218391106701329,629.7169349193573
0.6499999999999999,0.7402,0.7604333333333333,0.13191447566089512,531.2044208049774
0.7,0.7552,0.78925,0.1024501464127797,644.2615811824799
0.7499999999999998,0.7381,0.7702166666666667,0.1081788244323054,655.2013592720032
0.7999999999999998,0.7285,0.7546499999999999,0.10839427644791337,612.3954792022705
0.8499999999999999,0.7608,0.7917333333333333,0.11985424017901448,695.1954047679901
0.8999999999999999,0.7543,0.7817333333333333,0.13105523856586412,676.4329233169556
0.9499999999999997,0.7657,0.7982499999999999,0.10479148740872674,653.2659153938293
0.9999999999999998,0.7672,0.8034666666666667,0.11474770392280431,845.4618194103241
1.0499999999999998,0.7501,0.7719166666666667,0.11603311907478063,732.8268549442291
