,Corr,Mean Corr,Std Corr,Runtime
0.4,0.4785,0.5845000000000001,0.25393795173887135,74.11359286308289
0.45,0.4748,0.6054333333333334,0.24766919917951494,69.64994406700134
0.5,0.4652,0.6270833333333333,0.2510564107703464,69.25959491729736
0.55,0.4616,0.6571333333333333,0.27263372050345414,70.00643587112427
0.6,0.4894,0.6981666666666667,0.2216482849521336,70.70634126663208
0.6499999999999999,0.464,0.67565,0.21822864729452912,70.88886547088623
0.7,0.4582,0.6569,0.23315073093030036,69.7137291431427
0.75,0.4662,0.6578,0.19685443860883606,69.80246424674988
0.7999999999999999,0.4288,0.5910333333333334,0.15446662710400877,69.70041918754578
0.8499999999999999,0.4136,0.5562333333333334,0.20080171535345231,69.80005741119385
0.8999999999999999,0.2951,0.50375,0.24923370391395036,69.68017601966858
