,Corr,Mean Corr,Std Corr,Runtime
0.4,0.2059,-0.057449999999999994,0.2225386839031213,53.17539358139038
0.45,0.2995,-0.01943333333333333,0.30670957308539004,12.322529315948486
0.5,0.2995,-0.01943333333333333,0.30670957308539004,10.509997129440308
0.55,0.2807,-0.0020000000000000018,0.2921113543382614,10.154844045639038
0.6,0.4146,0.13653333333333334,0.3900229295253749,10.309889316558838
0.6499999999999999,0.449,0.2558833333333333,0.35656784962877525,10.937742233276367
0.7,0.3686,0.2970333333333333,0.2948457317913142,10.990659952163696
0.75,0.3788,0.3473833333333333,0.3191359136620147,10.859375238418579
0.7999999999999999,0.4437,0.5508833333333333,0.19308518341798148,11.711292505264282
0.8499999999999999,0.3644,0.42073333333333335,0.27001960216909354,10.68056845664978
0.8999999999999999,0.3155,0.40075,0.12872428869486907,9.931625604629517
